,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p1,0.016797146,10.33332393,23.094,55.194,55.194,55.403,55.662,56.015,56.733,57.895,59.579,61.878,64.419,67.33,70.518,74.204,77.727,81.545,86.132,91.614,98.434
p10,534.6252872,865.8653054,1928.402,3887.386,4752.652,5742.22,6356.393,6723.939,7145.175,7596.395,8068.64,8450.329,8727.983,8943.856,9103.99,9250.907,9348.957,9437.119,9512.229,9586.312,9665.366
p100,0,0,0.516,1.298,1.434,1.474,1.499,1.53,1.593,1.699,1.876,2.125,2.459,2.984,3.691,4.635,5.815,7.269,9.079,11.191,13.672
p101,8.377123095,26.91038637,57.077,101.116,116.779,152.572,195.811,267.79,404.619,632.52,1000.023,1527.289,2216.257,3121.914,4210.02,5491.71,6780.449,8080.552,9415.296,10802.776,12159.481
p102,5.087078563,14.23755315,29.448,49.621,49.885,53.791,54.428,61.141,78.849,129.23,218.619,366.104,593.343,933.018,1395.183,1983.906,2619.93,3272.456,3946.365,4632.05,5296.033
p103,0,0,6.784,11.562,11.645,11.795,12.019,12.39,13.016,14.06,15.874,18.748,22.975,29.105,37.476,48.485,61.038,75.297,91.061,109.795,130.284
p104,0,0,3.532,8.144,8.241,8.35,8.439,8.578,8.808,9.202,9.81,10.727,11.99,13.681,15.758,18.154,20.448,22.597,24.527,26.954,29.373
p105,0,0,2.699,6.938,7.176,7.659,8.108,8.825,10.618,14.331,22.475,38.458,67.648,120.288,209.79,223.172,239.167,259.004,282.829,314.598,350.422
p106,0,0,0.081,0.354,0.484,0.677,0.922,1.301,1.877,2.747,4.041,6.092,9.208,14.037,21.677,22.769,24.342,27.012,30.838,38.919,50.067
p107,0,0,3.479,9.837,11.621,14.882,19.921,28.362,42.312,66.042,103.266,155.413,220.525,303.235,412.817,422.711,432.574,443.859,456.098,471.234,487.098
p108,0,0,0.611,0.798,0.81,0.816,0.819,0.825,0.835,0.853,0.882,0.931,1.006,1.133,1.332,1.652,2.135,2.844,3.84,5.163,6.872
p109,0,0,3.381,4.383,4.482,4.651,4.887,5.257,5.783,6.549,7.566,8.854,10.303,11.99,13.814,15.958,18.597,21.848,26.042,31.476,38.431
p11,107.3777754,132.949176,147.084,235.137,236.468,238.775,242.276,247.538,256.92,289.352,338.294,386.004,428.505,467.762,498.447,527.03,555.239,585.966,613.431,641.864,664.324
p110,0,0,4.985,6.448,6.781,7.26,7.822,8.557,9.584,11.032,12.897,15.2,17.698,20.406,23.015,25.616,28.222,31.015,34.184,38.017,42.741
p111,0.030012846,18.41141759,25.792,34.043,47.262,72.484,98.172,134.89,196.616,286.575,413.918,593.507,837.179,1167.674,1594.686,2129.887,2732.928,3381.327,4035.479,4690.725,5285.811
p112,0,15.96889695,34.99,42.1,49.441,63.59,78.225,100.622,139.607,201.567,294.106,429.269,620.505,886.296,1240.727,1693.407,2213.835,2791.966,3406.572,4063.69,4712.026
p113,0.00074308,3.858751976,6.716,8.056,9.478,11.507,13.642,16.31,21.006,28.265,38.669,53.669,74.287,103.423,142.462,194.978,259.352,336.122,424.374,525.128,634.129
p114,0,5.660933492,10.549,11.777,12.331,13.393,14.535,16.209,19.078,24.116,33.033,46.396,65.81,94.138,133.932,189.471,260.755,351.591,464.423,606.369,773.363
p115,0.438228156,35.5977707,67.406,84.237,107.911,136.544,158.065,179.536,211.782,261.803,325.002,402.259,495.418,614.208,760.976,940.211,1140.254,1350.921,1563.295,1765.369,1958.28
p116,0,0,29.852,44.642,45.041,45.469,45.804,46.132,46.593,47.217,48.342,49.772,51.654,54.032,56.949,60.357,63.941,67.916,72.435,77.796,83.888
p117,0,0,5.421,8.41,8.491,8.595,8.703,8.826,9.099,9.704,10.648,12.077,14.424,17.488,22.175,28.515,36.364,46.013,57.363,70.334,84.892
p118,0,0,2.141,6.235,6.777,6.949,6.986,7.291,7.907,8.999,10.7,13.082,16.082,19.805,24.085,28.775,33.276,37.802,42.591,47.781,53.382
p119,0.123533323,4.106571736,16.262,21.087,29.013,39.238,46.847,53.75,64.096,77.772,94.448,113.463,135.483,161.599,190.03,222.168,253.541,283.516,312.92,339.742,365.547
p12,0.408189973,14.22757422,33.511,96.154,98.332,98.818,98.89,98.955,99.047,99.176,99.682,100.195,100.747,101.355,102.034,102.693,103.176,103.773,104.298,104.855,105.568
p120,0.304902382,2.880211639,7.58,7.977,8.634,9.447,10.151,10.944,12.887,15.688,19.603,25.001,32.193,41.971,54.525,69.917,86.807,104.047,120.804,135.83,152.204
p121,0,8.308360209,23.669,57.033,94.003,152.448,163.274,178.186,196.403,216.778,236.363,252.61,264.286,272.498,278.293,282.732,285.117,287.338,289.666,291.974,294.436
p122,2.438565672,132.0154459,131.976,161.805,190.559,254.712,337.224,459.065,648.794,926.971,1318.842,1828.572,2450.518,3199.645,4042.163,4954.083,5841.404,6675.557,7454.616,8160.244,8816.256
p123,0.002115553,75.49163979,177.992,579.182,1309.45,2320.174,2635.954,3040.729,3541.244,4063.336,4554.201,4953.696,5238.248,5452.682,5595.896,5694.736,5757.408,5806.14,5849.105,5900.92,5944.484
p124,0,0,0.055,0.127,0.143,0.152,0.161,0.173,0.185,0.2,0.216,0.232,0.247,0.261,0.278,0.296,0.316,0.342,0.39,0.459,0.556
p125,0.947636682,17.6,27.561,62.168,62.168,62.168,62.168,62.168,62.168,62.503,64.777,66.784,69.657,72.28,75.697,78.364,80.48,83.23,86.893,91.68,97.678
p126,4.57672123,816.9,1210.57,1618.728,2638.947,4195.646,4999.854,5647.186,6324.062,6938.067,7429.345,7748.188,7951.422,8092.067,8192.338,8279.419,8338.56,8379.271,8414.725,8446.358,8480.816
p127,3.257673856,107.8581726,244.046,497.93,756.258,1199.496,1298.555,1386.441,1469.434,1541.516,1596.302,1624.749,1636.554,1645.551,1656.1,1669.866,1688.255,1717.959,1747.346,1776.743,1822.733
p128,7.216393541,16.04182742,90.654,350.008,821.806,1476.396,1494.057,1523.382,1556.376,1584.594,1603.547,1612.205,1615.518,1616.786,1619.701,1620.812,1621.211,1621.354,1625.146,1626.551,1627.063
p129,0.188722468,8.9,26.012,101.072,111.477,136.325,148.873,159.119,169.044,179.201,189.6,195.932,198.439,200.575,201.676,202.176,202.42,202.523,203.392,204.86,205.824
p13,0.543822861,29.67242578,49.687,156.395,156.395,156.395,156.395,156.395,156.395,158.535,161.97,165.232,168.45,171.557,174.388,177.189,178.99,181.297,183.56,185.792,188.012
p130,0,0,5.181,52.207,102.675,195.489,314.904,425.109,554.073,715.523,740.11,765.119,787.513,806.6,821.215,831.289,838.399,843.029,848.365,853.788,857.297
p131,2.936474285,178.4,681.585,1441.144,2283.74,3520.253,3896.836,4078.841,4189.107,4363.776,4525.698,4590.701,4629.22,4662.017,4700.603,4734.035,4758.71,4776.708,4790.514,4805.071,4820.498
p132,1.362208484,36.6,115.181,309.188,540.71,945.335,1099.192,1107.62,1118.055,1154.129,1407.196,1583.57,1651.871,1762.261,1870.3,1943.38,1984.677,2019.445,2098.822,2166.381,2220.458
p133,0,0,0.071,2.724,4.281,7.145,11.314,17.727,28.785,47.181,76.545,121.796,142.241,169.94,204.622,244.034,285.269,322.192,358.883,389.502,413.485
