r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p16083,0.0287,0.0508,0.0246,0.0227,0,0
p16085,0.0245,0.0477,0.0237,0.0218,0,0
p16087,0.0248,0.0475,0.0232,0.0217,0,0
p17001,0.0314,0.0866,0.0465,0.0442,0,0
p17003,0.04,0.0468,0.0222,0.0246,0,0
p17005,0.0593,0.1223,0.0695,0.069,0,0
p17007,0.0367,0.1865,0.1145,0.1043,0,0
p17009,0.0353,0.0939,0.0513,0.0489,0,0
p17011,0.0222,0.101,0.0555,0.0517,0,0
p17013,0.0577,0.1227,0.0693,0.0688,0,0
p17015,0.0164,0.0814,0.0431,0.04,0,0
p17017,0.0367,0.0989,0.0547,0.0519,0,0
p17019,0.0323,0.1009,0.0571,0.0529,0,0
p17021,0.0447,0.1043,0.0583,0.0566,0,0
p17023,0.0294,0.0607,0.0317,0.0304,0,0
p17025,0.0406,0.0789,0.0426,0.0423,0,0
p17027,0.0596,0.1212,0.0688,0.0684,0,0
p17029,0.0333,0.0779,0.0425,0.0405,0,0
p17031,0.066,0.3293,0.2066,0.1879,0,0
p17033,0.0293,0.0543,0.0277,0.0269,0,0
p17035,0.0347,0.0757,0.041,0.0398,0,0
p17037,0.0421,0.2075,0.1273,0.1159,0,0
p17039,0.0335,0.1059,0.0595,0.0558,0,0
p17041,0.0331,0.0843,0.0467,0.0443,0,0
p17043,0.0631,0.3154,0.1976,0.1797,0,0
p17045,0.029,0.0661,0.0355,0.0335,0,0
p17047,0.034,0.0575,0.0298,0.0298,0,0
p17049,0.0404,0.0852,0.0467,0.0458,0,0
p17051,0.0489,0.1035,0.0578,0.0569,0,0
p17053,0.0358,0.1369,0.0805,0.0741,0,0
p17055,0.0462,0.0831,0.0451,0.0456,0,0
p17057,0.026,0.0858,0.0454,0.0431,0,0
p17059,0.0353,0.0505,0.0253,0.0265,0,0
p17061,0.0564,0.1207,0.0685,0.0675,0,0
p17063,0.0458,0.2172,0.1335,0.1216,0,0
p17065,0.0407,0.0709,0.0377,0.0379,0,0
p17067,0.0233,0.0754,0.039,0.0368,0,0
p17069,0.0345,0.0353,0.0155,0.018,0,0
p17071,0.0163,0.0657,0.032,0.0303,0,0
p17073,0.0131,0.0619,0.0285,0.0275,0,0
p17075,0.0386,0.1588,0.0954,0.0873,0,0
p17077,0.0496,0.0812,0.0435,0.0447,0,0
p17079,0.0344,0.0691,0.0368,0.0359,0,0
p17081,0.0495,0.0948,0.0523,0.0522,0,0
p17083,0.0641,0.1311,0.0747,0.0743,0,0
p17085,0.0154,0.0784,0.0416,0.0383,0,0
p17087,0.0389,0.0464,0.0216,0.0244,0,0
p17089,0.052,0.2586,0.1609,0.1462,0,0
p17091,0.0492,0.2312,0.1428,0.1301,0,0
p17093,0.0505,0.2472,0.1532,0.1393,0,0
p17095,0.0167,0.0709,0.035,0.0333,0,0
p17097,0.0559,0.2822,0.1768,0.1606,0,0
p17099,0.036,0.1656,0.099,0.0907,0,0
p17101,0.03,0.0504,0.0253,0.0248,0,0
p17103,0.028,0.1351,0.079,0.0726,0,0
p17105,0.0367,0.1545,0.0917,0.0842,0,0
p17107,0.0342,0.1023,0.0568,0.0537,0,0
p17109,0.0238,0.0782,0.0402,0.0381,0,0
p17111,0.0458,0.2319,0.1441,0.131,0,0
p17113,0.0327,0.1173,0.0669,0.062,0,0
p17115,0.0371,0.0994,0.0552,0.0526,0,0
p17117,0.0583,0.1234,0.0702,0.0692,0,0
p17119,0.0669,0.135,0.077,0.0769,0,0
p17121,0.049,0.0983,0.0546,0.0543,0,0
p17123,0.0264,0.1115,0.0628,0.0584,0,0
p17125,0.0317,0.0969,0.0533,0.0504,0,0
p17127,0.0357,0.0318,0.0128,0.0163,0,0
p17129,0.0363,0.1016,0.0564,0.0537,0,0
p17131,0.0115,0.0548,0.0237,0.023,0,0
p17133,0.0669,0.134,0.0764,0.0764,0,0
p17135,0.055,0.1168,0.066,0.0652,0,0
p17137,0.044,0.1072,0.06,0.0581,0,0
p17139,0.0365,0.0904,0.0501,0.048,0,0
p17141,0.0273,0.1369,0.0807,0.074,0,0
p17143,0.0233,0.0905,0.0486,0.0456,0,0
p17145,0.0553,0.1043,0.058,0.0584,0,0
p17147,0.0335,0.1005,0.0564,0.053,0,0
p17149,0.0431,0.1041,0.0579,0.056,0,0
p17151,0.0352,0.0335,0.014,0.0168,0,0
p17153,0.039,0.0443,0.02,0.023,0,0
p17155,0.0275,0.1218,0.0693,0.064,0,0
p17157,0.0607,0.117,0.0659,0.0663,0,0
p17159,0.0342,0.0628,0.033,0.0322,0,0
p17161,0.0107,0.0524,0.0218,0.0214,0,0
p17163,0.0675,0.1354,0.0772,0.0772,0,0
p17165,0.0382,0.0553,0.0278,0.0292,0,0
p17167,0.0425,0.1071,0.0601,0.0576,0,0
p17169,0.0306,0.0884,0.0474,0.0451,0,0
p17171,0.0464,0.1092,0.0612,0.0594,0,0
p17173,0.0414,0.0936,0.0516,0.0502,0,0
p17175,0.019,0.0823,0.0428,0.0403,0,0
p17177,0.021,0.108,0.0622,0.057,0,0
p17179,0.0293,0.1012,0.0558,0.0525,0,0
p17181,0.0433,0.0598,0.03,0.0321,0,0
p17183,0.0302,0.0899,0.0509,0.0472,0,0
p17185,0.0314,0.0512,0.0256,0.0256,0,0
p17187,0.0164,0.0669,0.0324,0.0308,0,0
p17189,0.0593,0.1191,0.0676,0.0671,0,0
p17191,0.0399,0.0728,0.0389,0.0387,0,0
p17193,0.0351,0.0554,0.028,0.0287,0,0
p17195,0.0151,0.073,0.0366,0.0345,0,0
p17197,0.0568,0.2791,0.1741,0.1584,0,0
p17199,0.0422,0.0594,0.0298,0.0316,0,0
p17201,0.0284,0.146,0.0877,0.0801,0,0
p17203,0.0298,0.1175,0.0672,0.062,0,0
p18001,0.016,0.0545,0.0305,0.0271,0,0
p18003,0.0177,0.0725,0.0435,0.0388,0,0
p18005,0.0166,0.0146,0.0027,0.0026,0,0
p18007,0.0335,0.123,0.0728,0.0668,0,0
p18009,0.0165,0.0418,0.0213,0.019,0,0
p18011,0.0205,0.0215,0.0075,0.0071,0,0
p18013,0.0187,0.0167,0.0043,0.0041,0,0
p18015,0.0266,0.0788,0.0448,0.0406,0,0
p18017,0.0268,0.0861,0.0496,0.0451,0,0
p18019,0.019,0.0102,0,0,0,0
p18021,0.0234,0.0369,0.0171,0.0161,0,0
p18023,0.0226,0.043,0.0214,0.0195,0,0
p18025,0.0202,0.0145,0.0032,0.0032,0,0
p18027,0.0237,0.0314,0.0134,0.0131,0,0
p18029,-0.0038,-0.0104,-0.0134,-0.0138,0,0
p18031,0.012,0.0103,0.0003,0,0,0
p18033,0.0179,0.0826,0.0509,0.0453,0,0
p18035,0.017,0.031,0.0144,0.0129,0,0
p18037,0.0222,0.0219,0.0078,0.0079,0,0
p18039,0.0253,0.1211,0.0739,0.0667,0,0
p18041,0.0076,0.0076,-0.0012,-0.002,0,0
p18043,0.02,0.01,0,0,0,0
p18045,0.026,0.0639,0.0349,0.0318,0,0
p18047,0.001,-0.0027,-0.0082,-0.0085,0,0
p18049,0.0275,0.1168,0.0705,0.0637,0,0
p18051,0.0291,0.0416,0.0196,0.0199,0,0
p18053,0.0184,0.0464,0.0241,0.0216,0,0
p18055,0.0224,0.0306,0.0131,0.0126,0,0
p18057,0.0199,0.019,0.0059,0.0053,0,0
p18059,0.0192,0.0144,0.003,0.0024,0,0
p18061,0.02,0.0114,0.001,0.001,0,0
p18063,0.02,0.0157,0.0036,0.0034,0,0
p18065,0.016,0.0205,0.0069,0.0061,0,0
p18067,0.0224,0.0498,0.026,0.0234,0,0
p18069,0.0198,0.0658,0.0372,0.0337,0,0
p18071,0.0173,0.0152,0.0031,0.003,0,0
p18073,0.0406,0.1775,0.1086,0.0988,0,0
p18075,0.0146,0.0392,0.0198,0.0174,0,0
p18077,0.0127,0.0087,-0.001,-0.001,0,0
p18079,0.0139,0.0114,0.0011,0.0009,0,0
p18081,0.0195,0.0127,0.002,0.0018,0,0
p18083,0.0267,0.04,0.0186,0.0184,0,0
p18085,0.0244,0.1056,0.0636,0.0573,0,0
p18087,0.02,0.0974,0.0593,0.0533,0,0
p18089,0.0587,0.2907,0.1818,0.1653,0,0
p18091,0.0451,0.222,0.1382,0.1254,0,0
p18093,0.0197,0.0199,0.0062,0.006,0,0
p18095,0.019,0.0263,0.0109,0.01,0,0
p18097,0.02,0.0113,0.0006,0.0006,0,0
p18099,0.0303,0.1391,0.085,0.077,0,0
p18101,0.0216,0.0256,0.0099,0.0095,0,0
p18103,0.0244,0.076,0.0433,0.0391,0,0
p18105,0.0199,0.0218,0.0074,0.007,0,0
p18107,0.0224,0.0397,0.0191,0.0177,0,0
p18109,0.0201,0.0171,0.0046,0.0042,0,0
p18111,0.0431,0.1897,0.1161,0.1059,0,0
p18113,0.0208,0.0944,0.0573,0.0513,0,0
p18115,-0.002,-0.008,-0.012,-0.012,0,0
p18117,0.0202,0.0174,0.0048,0.0047,0,0
p18119,0.0214,0.0279,0.0113,0.0109,0,0
p18121,0.0241,0.0439,0.0216,0.0204,0,0
p18123,0.0217,0.017,0.0045,0.0052,0,0
p18125,0.0249,0.0314,0.0133,0.0134,0,0
p18127,0.0524,0.259,0.1619,0.1471,0,0
p18129,0.0319,0.0447,0.0214,0.0223,0,0
p18131,0.0353,0.1494,0.091,0.0826,0,0
p18133,0.0215,0.0266,0.0104,0.0098,0,0
p18135,0.0128,0.0258,0.0111,0.0096,0,0
p18137,0.0055,0.0022,-0.0051,-0.0055,0,0
p18139,0.0138,0.0126,0.0019,0.0014,0,0
p18141,0.0341,0.1674,0.1034,0.0936,0,0
p18143,0.017,0.0113,0.001,0.001,0,0
p18145,0.0178,0.0133,0.0021,0.0018,0,0
p18147,0.0239,0.0225,0.0081,0.0087,0,0
p18149,0.0377,0.1768,0.1092,0.0987,0,0
p18151,0.0175,0.0848,0.0525,0.047,0,0
p18153,0.0256,0.0435,0.0211,0.0205,0,0
p18155,0.0044,-0.0004,-0.0068,-0.0068,0,0
p18157,0.0268,0.0758,0.0426,0.039,0,0
p18159,0.0208,0.0353,0.0165,0.015,0,0
p18161,0.0033,0.003,-0.0043,-0.005,0,0
p18163,0.0292,0.0378,0.0174,0.018,0,0
p18165,0.0265,0.0607,0.0322,0.0302,0,0
p18167,0.0254,0.0471,0.0233,0.022,0,0
p18169,0.0219,0.0719,0.0411,0.037,0,0
p18171,0.0292,0.0904,0.0516,0.0472,0,0
p18173,0.0261,0.0294,0.0124,0.013,0,0
p18175,0.019,0.0127,0.0017,0.0017,0,0
p18177,0.0094,0.0143,0.003,0.0021,0,0
p18179,0.0174,0.0563,0.0314,0.0281,0,0
p18181,0.0314,0.1144,0.0678,0.062,0,0
p18183,0.0209,0.0854,0.0511,0.0459,0,0
p19001,0.0068,0.0251,0.0067,0.0043,0,0
p19003,0.0058,0.02,0.0032,0.001,0,0
p19005,0.0074,0.0473,0.023,0.02,0,0
p19007,0.0142,0.0547,0.0271,0.024,0,0
p19009,0.0047,0.0144,-0.0016,-0.0031,0,0
p19011,0.0038,0.0113,-0.0049,-0.0056,0,0
p19013,0,-0.0086,-0.019,-0.019,0,0
p19015,0.0069,0.0306,0.0105,0.0083,0,0
p19017,0.0011,-0.003,-0.0149,-0.0151,0,0
p19019,0.0023,0.0043,-0.0097,-0.0101,0,0
p19021,0.0042,0.0273,0.0101,0.0077,0,0
p19023,0.0018,0.0021,-0.011,-0.0115,0,0
p19025,0.0066,0.0294,0.0103,0.0081,0,0
p19027,0.0058,0.0222,0.0043,0.0023,0,0
p19029,0.0043,0.0132,-0.0023,-0.004,0,0
p19031,0.0108,0.0513,0.0219,0.0209,0,0
p19033,0.0053,0.0294,0.0106,0.0081,0,0
p19035,0.0023,0.0198,0.0048,0.0026,0,0
p19037,0.003,0.0133,-0.0022,-0.0037,0,0
p19039,0.0102,0.0401,0.0176,0.0146,0,0
p19041,0.004,0.0388,0.0193,0.0159,0,0
p19043,0.0066,0.0337,0.0119,0.0098,0,0
p19045,0.0115,0.0565,0.0251,0.0242,0,0
p19047,0.0041,0.0129,-0.0025,-0.0041,0,0
p19049,0.0078,0.0304,0.0099,0.0078,0,0
p19051,0.0158,0.0585,0.0293,0.0265,0,0
p19053,0.0112,0.0458,0.0223,0.0187,0,0
p19055,0.0066,0.0304,0.0088,0.0071,0,0
p19057,0.0152,0.0621,0.0296,0.028,0,0
p19059,0.0047,0.0481,0.0272,0.023,0,0
p19061,0.0108,0.0539,0.0249,0.0227,0,0
p19063,0.006,0.0541,0.0313,0.027,0,0
p19065,0.003,0.0116,-0.0038,-0.005,0,0
p19067,0.0037,0.0172,0.0011,-0.0004,0,0
p19069,0.0039,0.0164,0.0002,-0.0012,0,0
p19071,0.0019,0.001,-0.011,-0.0117,0,0
p19073,0.0069,0.0278,0.0084,0.0063,0,0
p19075,0.0016,0,-0.0125,-0.0129,0,0
p19077,0.0065,0.0242,0.0055,0.0035,0,0
p19079,0.0057,0.0263,0.0077,0.0056,0,0
p19081,0.0066,0.0402,0.019,0.016,0,0
p19083,0.0039,0.0139,-0.0019,-0.0033,0,0
p19085,0.001,-0.0035,-0.015,-0.0153,0,0
p19087,0.015,0.0603,0.0287,0.0269,0,0
p19089,0.0044,0.0324,0.0131,0.0106,0,0
p19091,0.007,0.0398,0.0184,0.0153,0,0
p19093,0.0039,0.0153,0.0001,-0.0014,0,0
p19095,0.0079,0.0334,0.0109,0.0092,0,0
p19097,0.0125,0.061,0.0291,0.0274,0,0
p19099,0.0071,0.0291,0.0087,0.0068,0,0
p19101,0.014,0.0572,0.0273,0.025,0,0
p19103,0.0096,0.0441,0.0175,0.0162,0,0
p19105,0.0096,0.0462,0.0191,0.0176,0,0
p19107,0.0109,0.0465,0.0202,0.0182,0,0
p19109,0.0075,0.0514,0.0283,0.0244,0,0
p19111,0.0192,0.0689,0.0348,0.0326,0,0
p19113,0.0067,0.0278,0.0068,0.0055,0,0
p19115,0.0125,0.057,0.0258,0.0243,0,0
p19117,0.0114,0.0449,0.0203,0.0176,0,0
p19119,0.0015,0.03,0.0138,0.011,0,0
p19121,0.0086,0.033,0.0124,0.0098,0,0
p19123,0.01,0.0418,0.0175,0.0152,0,0
p19125,0.0097,0.0389,0.0159,0.0134,0,0
p19127,0.0041,0.0143,-0.0021,-0.0032,0,0
p19129,0.0008,-0.0054,-0.0164,-0.0166,0,0
p19131,0.0054,0.0363,0.0164,0.0136,0,0
p19133,0.0019,0.0032,-0.0091,-0.0101,0,0
p19135,0.0127,0.0484,0.0224,0.0197,0,0
p19137,0.003,0.0063,-0.0073,-0.0087,0,0
p19139,0.0111,0.0536,0.0232,0.0222,0,0
p19141,0.0021,0.0276,0.0114,0.0089,0,0
p19143,0.002,0.0368,0.0196,0.0161,0,0
p19145,0.0034,0.0097,-0.0038,-0.0054,0,0
p19147,0.0071,0.0474,0.0253,0.0213,0,0
p19149,0.0011,0.0165,0.0023,0.0004,0,0
p19151,0.0067,0.0383,0.0177,0.0145,0,0
p19153,0.0078,0.0321,0.0112,0.0091,0,0
p19155,0.0012,-0.004,-0.0152,-0.0158,0,0
p19157,0.007,0.0276,0.0071,0.0054,0,0
p19159,0.0093,0.0379,0.017,0.0136,0,0
p19161,0.0055,0.0236,0.0062,0.0039,0,0
p19163,0.0103,0.0513,0.021,0.0209,0,0
p19165,0.0028,0.0051,-0.0085,-0.0095,0,0
p19167,0.0016,0.0237,0.0083,0.0059,0,0
p19169,0.0058,0.025,0.0062,0.0043,0,0
p19171,0.003,0.0059,-0.0083,-0.0093,0,0
p19173,0.0068,0.0264,0.0083,0.0058,0,0
p19175,0.0083,0.0324,0.0124,0.0096,0,0
p19177,0.0168,0.0613,0.0303,0.0278,0,0
p19179,0.013,0.0534,0.0256,0.023,0,0
p19181,0.0095,0.0369,0.0146,0.0121,0,0
p19183,0.0119,0.0536,0.0242,0.0225,0,0
p19185,0.0128,0.0506,0.0251,0.0216,0,0
p19187,0.0068,0.0339,0.0136,0.0109,0,0
p19189,0.0077,0.0533,0.0302,0.026,0,0
p19191,0.0049,0.0343,0.0141,0.0113,0,0
p19193,0.0014,0.0096,-0.0037,-0.005,0,0
p19195,0.0068,0.0465,0.0247,0.0209,0,0
p19197,0.0059,0.0309,0.0114,0.0091,0,0
p20001,0.0083,0.0283,0.0132,0.0095,0,0
p20003,0.0087,0.0374,0.0212,0.016,0,0
p20005,0.0093,0.0519,0.0334,0.0263,0,0
p20007,-0.0005,-0.0132,-0.0194,-0.0195,0,0
p20009,-0.0005,-0.0072,-0.015,-0.0158,0,0
p20011,0.0102,0.0348,0.0188,0.0143,0,0
p20013,0.0074,0.038,0.0211,0.0158,0,0
p20015,0.0007,-0.007,-0.0171,-0.0175,0,0
p20017,0.003,0.0035,-0.0081,-0.0094,0,0
p20019,0.0025,-0.0037,-0.0129,-0.0136,0,0
p20021,0.01,0.0179,0.0047,0.0029,0,0
p20023,-0.0057,-0.0082,-0.012,-0.013,0,0
p20025,-0.0002,-0.0126,-0.0178,-0.0181,0,0
p20027,0.0044,0.0127,-0.0003,-0.0025,0,0
p20029,0.0019,0.0062,-0.0049,-0.0069,0,0
p20031,0.0069,0.0262,0.0115,0.0078,0,0
p20033,-0.0009,-0.0139,-0.019,-0.0194,0,0
p20035,0.0009,-0.0082,-0.0173,-0.0175,0,0
p20037,0.01,0.0258,0.0111,0.0081,0,0
p20039,-0.0046,-0.0065,-0.0117,-0.0127,0,0
p20041,0.0039,0.0073,-0.0048,-0.0063,0,0
p20043,0.0089,0.0494,0.0311,0.0246,0,0
p20045,0.0097,0.0566,0.0378,0.0302,0,0
p20047,-0.0001,-0.0091,-0.0162,-0.0167,0,0
p20049,0.0028,-0.0015,-0.0116,-0.0124,0,0
p20051,-0.0024,-0.006,-0.0129,-0.0142,0,0
p20053,0.0003,-0.0046,-0.0134,-0.0143,0,0
p20055,-0.0021,-0.0074,-0.0134,-0.0142,0,0
p20057,-0.0005,-0.0101,-0.0161,-0.0168,0,0
p20059,0.0094,0.0494,0.0316,0.0248,0,0
p20061,0.0051,0.0145,0.0013,-0.0012,0,0
p20063,-0.0029,-0.0058,-0.012,-0.013,0,0
p20065,-0.0033,-0.0059,-0.0122,-0.0133,0,0
p20067,-0.002,-0.0077,-0.0134,-0.0142,0,0
p20069,-0.002,-0.0085,-0.0144,-0.0153,0,0
p20071,-0.0037,-0.0075,-0.013,-0.013,0,0
p20073,0.0032,0.0031,-0.008,-0.0095,0,0
p20075,-0.0028,-0.007,-0.013,-0.0132,0,0
p20077,0,-0.0116,-0.0192,-0.0194,0,0
p20079,0.0005,-0.0082,-0.0182,-0.0185,0,0
p20081,-0.002,-0.0082,-0.0141,-0.0149,0,0
p20083,-0.002,-0.0076,-0.0143,-0.0151,0,0
p20085,0.0083,0.0409,0.0236,0.0181,0,0
p20087,0.0095,0.0557,0.0371,0.0292,0,0
p20089,-0.0009,0.0001,-0.0087,-0.0104,0,0
p20091,0.01,0.0666,0.047,0.0377,0,0
p20093,-0.0026,-0.0071,-0.013,-0.014,0,0
p20095,0.0001,-0.0094,-0.0182,-0.0185,0,0
p20097,0,-0.0112,-0.0175,-0.018,0,0
p20099,0.0074,0.0109,-0.0006,-0.0022,0,0
p20101,-0.0022,-0.0066,-0.013,-0.0139,0,0
p20103,0.01,0.0645,0.045,0.0361,0,0
p20105,0.0009,0,-0.0096,-0.0111,0,0
p20107,0.0102,0.0468,0.0288,0.0231,0,0
p20109,-0.0036,-0.0068,-0.012,-0.013,0,0
p20111,0.0055,0.0174,0.0041,0.001,0,0
p20113,0.0012,-0.0048,-0.0149,-0.0152,0,0
p20115,0.002,-0.002,-0.0129,-0.0137,0,0
p20117,0.0056,0.0217,0.0069,0.0038,0,0
p20119,-0.0003,-0.0113,-0.0164,-0.017,0,0
p20121,0.01,0.0582,0.0393,0.0313,0,0
p20123,-0.0008,-0.0005,-0.0094,-0.0109,0,0
p20125,0.0048,0.0033,-0.0067,-0.0081,0,0
p20127,0.0045,0.0111,-0.0016,-0.0036,0,0
p20129,-0.0011,-0.0067,-0.013,-0.0137,0,0
p20131,0.0064,0.029,0.0132,0.0091,0,0
p20133,0.0077,0.0186,0.0053,0.0028,0,0
p20135,-0.002,-0.0064,-0.0132,-0.0142,0,0
p20137,-0.0038,-0.0055,-0.0117,-0.0129,0,0
p20139,0.0081,0.0376,0.0214,0.0161,0,0
p20141,-0.0017,-0.0031,-0.011,-0.0124,0,0
p20143,0.0025,0.0056,-0.0057,-0.0075,0,0
p20145,-0.0007,-0.0082,-0.0154,-0.0159,0,0
p20147,-0.0029,-0.004,-0.011,-0.0122,0,0
p20149,0.0068,0.0269,0.0118,0.0079,0,0
p20151,0.0004,-0.0097,-0.0172,-0.0178,0,0
p20153,-0.0046,-0.0064,-0.0116,-0.0122,0,0
p20155,0.0007,-0.0081,-0.0174,-0.0178,0,0
p20157,0.0013,0.0053,-0.0055,-0.0075,0,0
p20159,0.0001,-0.0074,-0.0161,-0.0167,0,0
p20161,0.006,0.018,0.0043,0.0015,0,0
p20163,-0.0025,-0.0047,-0.0116,-0.0129,0,0
p20165,-0.0017,-0.0069,-0.0139,-0.0149,0,0
p20167,-0.0016,-0.0047,-0.0126,-0.0136,0,0
p20169,0.0023,0.0008,-0.0097,-0.0107,0,0
p20171,-0.003,-0.007,-0.013,-0.0136,0,0
p20173,0,-0.0099,-0.0197,-0.0198,0,0
p20175,-0.0015,-0.0097,-0.0152,-0.0158,0,0
p20177,0.0083,0.042,0.0249,0.0193,0,0
p20179,-0.0032,-0.0055,-0.0114,-0.0124,0,0
p20181,-0.0052,-0.008,-0.0124,-0.013,0,0
p20183,-0.002,-0.0025,-0.0101,-0.0116,0,0
p20185,0.0001,-0.0089,-0.0166,-0.0173,0,0
p20187,-0.002,-0.0069,-0.013,-0.0135,0,0
p20189,-0.0017,-0.0081,-0.014,-0.0147,0,0
p20191,0,-0.0104,-0.0192,-0.0192,0,0
p20193,-0.004,-0.0064,-0.0119,-0.0128,0,0
p20195,-0.0022,-0.0054,-0.0122,-0.0132,0,0
p20197,0.0068,0.0268,0.0119,0.0079,0,0
p20199,-0.0044,-0.0078,-0.0126,-0.013,0,0
p20201,0.0045,0.0151,0.0014,-0.001,0,0
p20203,-0.0032,-0.007,-0.0129,-0.0131,0,0
p20205,0.0052,0.0091,-0.0026,-0.0044,0,0
p20207,0.0059,0.0159,0.003,0.0002,0,0
p20209,0.01,0.0693,0.0493,0.0393,0,0
p21001,0.0194,0.0001,-0.0062,-0.0039,0,0
p21003,0.0311,-0.0031,-0.0073,-0.001,0,0
p21005,0.0148,0.0045,-0.0035,-0.0032,0,0
p21007,0.0363,0.0338,0.014,0.0172,0,0
p21009,0.0256,0.0013,-0.0051,-0.001,0,0
p21011,0.0041,-0.0034,-0.0084,-0.0077,0,0
p21013,0.01,-0.0033,-0.0094,-0.007,0,0
p21015,-0.0068,-0.0155,-0.0167,-0.0168,0,0
p21017,0.0047,-0.0052,-0.0102,-0.0092,0,0
p21019,0.002,0.0107,0.0023,0.0027,0,0
p21021,0.014,0.0008,-0.006,-0.0052,0,0
p21023,-0.003,-0.0075,-0.0115,-0.0117,0,0
p21025,0.0061,-0.0005,-0.0065,-0.0051,0,0
p21027,0.0215,0.0132,0.0021,0.0031,0,0
p21029,0.0198,0.0106,0.0004,0.0004,0,0
p21031,0.0273,0.0034,-0.0037,0.0004,0,0
p21033,0.0319,0.0117,0.0009,0.0053,0,0
p21035,0.0321,0.0076,-0.0019,0.003,0,0
p21037,-0.008,-0.0173,-0.018,-0.018,0,0
p21039,0.035,0.027,0.0095,0.0135,0,0
p21041,0.0095,0.005,-0.003,-0.003,0,0
p21043,0.003,0.0055,-0.0016,-0.0011,0,0
p21045,0.0155,-0.0003,-0.0067,-0.005,0,0
p21047,0.0323,0.0016,-0.0048,0.0012,0,0
p21049,0.0068,-0.0034,-0.0086,-0.0076,0,0
p21051,0.009,-0.0028,-0.0084,-0.0063,0,0
p21053,0.02,-0.004,-0.009,-0.005,0,0
p21055,0.0339,0.0299,0.0124,0.0153,0,0
p21057,0.021,-0.004,-0.0088,-0.005,0,0
p21059,0.026,0.0224,0.0081,0.0095,0,0
p21061,0.0248,0.0036,-0.0034,-0.0002,0,0
p21063,0.0034,0.006,-0.0012,-0.001,0,0
p21065,0.0076,-0.0022,-0.008,-0.007,0,0
p21067,0.0087,-0.0027,-0.0083,-0.0073,0,0
p21069,0.0024,-0.0019,-0.0073,-0.0069,0,0
p21071,0.0043,0.0047,-0.003,-0.0017,0,0
p21073,0.0118,0.003,-0.005,-0.0045,0,0
p21075,0.0343,0.0218,0.0063,0.01,0,0
p21077,-0.001,-0.007,-0.0115,-0.0115,0,0
p21079,0.0112,-0.0014,-0.0074,-0.006,0,0
p21081,-0.0006,-0.006,-0.0106,-0.0108,0,0
p21083,0.0335,0.0172,0.0038,0.0078,0,0
p21085,0.0226,0.0064,-0.0022,0.0002,0,0
p21087,0.0206,0.0048,-0.0034,-0.001,0,0
p21089,0.0022,0.0068,-0.0002,-0.0002,0,0
p21091,0.0233,0.0187,0.0057,0.0063,0,0
p21093,0.0201,0.0084,-0.001,-0.0001,0,0
p21095,0.0076,-0.0022,-0.0086,-0.0064,0,0
p21097,0.0024,-0.0064,-0.0104,-0.0102,0,0
p21099,0.0217,0.005,-0.0029,-0.001,0,0
p21101,0.0297,0.0336,0.0148,0.0162,0,0
p21103,0.0136,0.0069,-0.0021,-0.0021,0,0
p21105,0.0342,0.0202,0.0055,0.0095,0,0
p21107,0.0306,0.0148,0.0032,0.0068,0,0
p21109,0.0094,-0.0024,-0.008,-0.0064,0,0
p21111,0.0199,0.01,0,0,0,0
p21113,0.0103,-0.0015,-0.0075,-0.0065,0,0
p21115,0.0036,0.0056,-0.002,-0.0011,0,0
p21117,-0.0077,-0.0167,-0.0177,-0.0177,0,0
p21119,0.0057,0.0026,-0.0047,-0.0031,0,0
p21121,0.0104,-0.003,-0.009,-0.007,0,0
p21123,0.0195,0.0067,-0.002,-0.001,0,0
p21125,0.0115,-0.0025,-0.0082,-0.0062,0,0
p21127,0.0027,0.0101,0.0018,0.0021,0,0
p21129,0.0072,-0.002,-0.0078,-0.0062,0,0
p21131,0.0079,-0.001,-0.0074,-0.0052,0,0
p21133,0.0057,0.0021,-0.0053,-0.0034,0,0
p21135,0.0021,0.0009,-0.0051,-0.0048,0,0
p21137,0.0133,-0.0003,-0.0067,-0.0053,0,0
p21139,0.0332,0.0222,0.0072,0.0107,0,0
p21141,0.0326,-0.0022,-0.0065,0.0001,0,0
p21143,0.0322,0.012,0.0012,0.0054,0,0
p21145,0.0348,0.0265,0.0098,0.013,0,0
p21147,0.0158,-0.0028,-0.0086,-0.0059,0,0
p21149,0.0282,0.0212,0.007,0.0092,0,0
p21151,0.0091,-0.0022,-0.008,-0.007,0,0
p21153,0.0046,0.0022,-0.0046,-0.0034,0,0
p21155,0.0177,0.0048,-0.0037,-0.0023,0,0
p21157,0.033,0.014,0.002,0.0064,0,0
p21159,0.0026,0.0082,0.0002,0.0012,0,0
p21161,-0.0003,-0.0062,-0.0102,-0.0098,0,0
p21163,0.0204,0.0127,0.0017,0.0021,0,0
p21165,0.0047,-0.002,-0.0073,-0.0063,0,0
p21167,0.0133,0.0013,-0.0055,-0.005,0,0
p21169,0.023,0.0022,-0.0046,-0.0014,0,0
p21171,0.0268,-0.0018,-0.0069,-0.0023,0,0
p21173,0.0055,-0.0035,-0.0087,-0.0077,0,0
p21175,0.0043,0.0004,-0.006,-0.005,0,0
p21177,0.0286,0.0054,-0.0025,0.0018,0,0
