r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p08009,-0.001,-0.0049,-0.0117,-0.0123,0,0
p08011,-0.0032,-0.0071,-0.0125,-0.0129,0,0
p08013,-0.0094,-0.0177,-0.0181,-0.0181,0,0
p08014,-0.0094,-0.0177,-0.0181,-0.0181,0,0
p08015,-0.0037,-0.0081,-0.0127,-0.0129,0,0
p08017,-0.0054,-0.0096,-0.0134,-0.0138,0,0
p08019,-0.0093,-0.0183,-0.0187,-0.0187,0,0
p08021,0.011,0.0138,-0.0018,-0.002,0,0
p08023,0.0057,0.0041,-0.0073,-0.0073,0,0
p08025,-0.0045,-0.012,-0.0155,-0.0155,0,0
p08027,-0.0024,-0.0075,-0.013,-0.013,0,0
p08029,0.0057,0.0064,-0.0034,-0.004,0,0
p08031,-0.01,-0.02,-0.02,-0.02,0,0
p08033,0.0134,0.0219,0.0052,0.0045,0,0
p08035,-0.0094,-0.0187,-0.0192,-0.0192,0,0
p08037,-0.0044,-0.0089,-0.0125,-0.0128,0,0
p08039,-0.0084,-0.0169,-0.0178,-0.0178,0,0
p08041,-0.0072,-0.0155,-0.0172,-0.0172,0,0
p08043,-0.0048,-0.0113,-0.0149,-0.0149,0,0
p08045,0.004,0.0021,-0.0058,-0.0063,0,0
p08047,-0.01,-0.019,-0.019,-0.019,0,0
p08049,-0.0079,-0.0142,-0.0155,-0.0155,0,0
p08051,0.0015,0.0008,-0.0072,-0.0075,0,0
p08053,0.0085,0.0126,-0.0009,-0.0014,0,0
p08055,0.0004,-0.0037,-0.0112,-0.0112,0,0
p08057,-0.0075,-0.0115,-0.0132,-0.0132,0,0
p08059,-0.0099,-0.0194,-0.0196,-0.0196,0,0
p08061,-0.0044,-0.0089,-0.0134,-0.0137,0,0
p08063,-0.0063,-0.0103,-0.0135,-0.014,0,0
p08065,-0.0049,-0.0096,-0.0131,-0.0133,0,0
p08067,0.014,0.0224,0.0045,0.0039,0,0
p08069,-0.0091,-0.0123,-0.0129,-0.0129,0,0
p08071,0.0018,-0.0022,-0.0106,-0.0108,0,0
p08073,-0.0066,-0.0136,-0.016,-0.0161,0,0
p08075,-0.0087,-0.0098,-0.0118,-0.0119,0,0
p08077,0.0087,0.0097,-0.0015,-0.0021,0,0
p08079,0.0088,0.0131,-0.0008,-0.0013,0,0
p08081,0.0052,0.0002,-0.0068,-0.0072,0,0
p08083,0.0172,0.0322,0.0117,0.0104,0,0
p08085,0.0097,0.0136,0.0006,0,0,0
p08087,-0.0089,-0.0142,-0.0153,-0.0153,0,0
p08089,-0.0023,-0.0085,-0.0139,-0.014,0,0
p08091,0.0082,0.012,-0.0009,-0.0014,0,0
p08093,-0.0076,-0.0157,-0.0172,-0.0172,0,0
p08095,-0.0087,-0.0091,-0.0117,-0.012,0,0
p08097,-0.0021,-0.0053,-0.0105,-0.0107,0,0
p08099,-0.0029,-0.007,-0.0125,-0.013,0,0
p08101,-0.0035,-0.0105,-0.0148,-0.0148,0,0
p08103,0.0059,0.003,-0.0052,-0.0056,0,0
p08105,0.0074,0.0101,-0.003,-0.0033,0,0
p08107,-0.0041,-0.008,-0.0114,-0.0115,0,0
p08109,0.0017,0.0002,-0.0082,-0.0084,0,0
p08111,0.0102,0.016,0.001,0.0003,0,0
p08113,0.0119,0.0184,0.0031,0.0024,0,0
p08115,-0.0091,-0.0085,-0.0108,-0.0116,0,0
p08117,-0.0074,-0.0144,-0.0159,-0.0159,0,0
p08119,-0.0077,-0.0161,-0.0176,-0.0176,0,0
p08121,-0.008,-0.0132,-0.0148,-0.015,0,0
p08123,-0.0093,-0.0129,-0.0136,-0.0136,0,0
p08125,-0.0071,-0.01,-0.013,-0.0133,0,0
p09110,0.0501,0.2027,0.1319,0.1128,0,0
p09120,0.0685,0.3203,0.2118,0.1908,0,0
p09130,0.0525,0.2192,0.143,0.1241,0,0
p09140,0.0565,0.2428,0.1593,0.1395,0,0
p09150,0.0478,0.1924,0.1243,0.1093,0,0
p09160,0.0536,0.2261,0.1479,0.1284,0,0
p09170,0.0577,0.2517,0.1653,0.1455,0,0
p09180,0.05,0.2071,0.1344,0.118,0,0
p09190,0.0703,0.3318,0.2195,0.1978,0,0
p10001,0.0125,0.1656,0.1162,0.1064,0,0
p10003,0.029,0.19,0.1324,0.1201,0,0
p10005,0.0193,0.1547,0.1068,0.0968,0,0
p11001,0.01,0.039,0.028,0.019,0,0
p12001,0.0043,-0.0494,-0.0393,-0.0309,0,0
p12003,0.0072,-0.048,-0.0385,-0.0305,0,0
p12005,-0.0008,-0.0538,-0.0406,-0.0334,0,0
p12007,0.0065,-0.0482,-0.0387,-0.0305,0,0
p12009,0.0061,-0.0461,-0.0379,-0.029,0,0
p12011,0.0068,-0.0444,-0.0366,-0.0283,0,0
p12013,-0.0047,-0.0608,-0.0449,-0.036,0,0
p12015,0.0023,-0.048,-0.0389,-0.0298,0,0
p12017,0.0017,-0.0493,-0.0396,-0.0301,0,0
p12019,0.009,-0.0461,-0.0378,-0.0296,0,0
p12021,0.005,-0.0456,-0.0373,-0.029,0,0
p12023,0.0039,-0.0509,-0.0401,-0.0318,0,0
p12027,0.0018,-0.0487,-0.039,-0.03,0,0
p12029,-0.0003,-0.0547,-0.0419,-0.0332,0,0
p12031,0.0123,-0.0442,-0.037,-0.029,0,0
p12033,0.0021,-0.0428,-0.0327,-0.0302,0,0
p12035,0.0088,-0.0454,-0.0377,-0.029,0,0
p12037,-0.0058,-0.0624,-0.0459,-0.0369,0,0
p12039,-0.0085,-0.0673,-0.0485,-0.039,0,0
p12041,0.0015,-0.0525,-0.041,-0.0323,0,0
p12043,0.0038,-0.0469,-0.0381,-0.029,0,0
p12045,-0.0033,-0.0585,-0.0433,-0.0352,0,0
p12047,0.0011,-0.0541,-0.0416,-0.0331,0,0
p12049,0.0012,-0.049,-0.0395,-0.03,0,0
p12051,0.0045,-0.0463,-0.0377,-0.029,0,0
p12053,0.001,-0.0497,-0.04,-0.03,0,0
p12055,0.0028,-0.0479,-0.0388,-0.0295,0,0
p12057,0,-0.05,-0.04,-0.03,0,0
p12059,0.0021,-0.0479,-0.0374,-0.0309,0,0
p12061,0.0056,-0.0461,-0.0378,-0.029,0,0
p12063,-0.0029,-0.0575,-0.0429,-0.0348,0,0
p12065,-0.0087,-0.0678,-0.0488,-0.0392,0,0
p12067,-0.002,-0.058,-0.0437,-0.0348,0,0
p12069,0.0033,-0.0482,-0.0388,-0.0299,0,0
p12071,0.0032,-0.0472,-0.0382,-0.029,0,0
p12073,-0.0098,-0.0696,-0.0498,-0.0399,0,0
p12075,0.002,-0.0508,-0.04,-0.0313,0,0
p12077,-0.0071,-0.0649,-0.0471,-0.0379,0,0
p12079,-0.0048,-0.0619,-0.0456,-0.0366,0,0
p12081,0.0005,-0.0498,-0.0399,-0.03,0,0
p12083,0.0039,-0.0483,-0.0389,-0.03,0,0
p12085,0.0063,-0.0452,-0.0372,-0.0289,0,0
p12086,0.0073,-0.0435,-0.0361,-0.028,0,0
p12087,0.0067,-0.0437,-0.0361,-0.0281,0,0
p12089,0.0135,-0.0436,-0.0368,-0.0289,0,0
p12091,0.0042,-0.0431,-0.0337,-0.0296,0,0
p12093,0.0042,-0.0468,-0.0381,-0.029,0,0
p12095,0.0036,-0.0478,-0.0387,-0.0296,0,0
p12097,0.0034,-0.0477,-0.0386,-0.0294,0,0
p12099,0.0063,-0.0449,-0.037,-0.0287,0,0
p12101,0.0003,-0.05,-0.04,-0.03,0,0
p12103,0,-0.05,-0.04,-0.03,0,0
p12105,0.0014,-0.0491,-0.0395,-0.03,0,0
p12107,0.0074,-0.0467,-0.0381,-0.0296,0,0
p12109,0.0113,-0.0446,-0.0371,-0.029,0,0
p12111,0.006,-0.0455,-0.0375,-0.029,0,0
p12113,0.003,-0.042,-0.0325,-0.0294,0,0
p12115,0.0012,-0.049,-0.0393,-0.03,0,0
p12117,0.005,-0.0472,-0.0382,-0.029,0,0
p12119,0.0018,-0.049,-0.0393,-0.03,0,0
p12121,-0.0001,-0.0555,-0.0423,-0.0337,0,0
p12123,-0.0054,-0.0627,-0.0461,-0.0368,0,0
p12125,0.0052,-0.0493,-0.0395,-0.0308,0,0
p12127,0.0071,-0.046,-0.0378,-0.029,0,0
p12129,-0.0088,-0.068,-0.0489,-0.0392,0,0
p12131,0.003,-0.0461,-0.036,-0.0305,0,0
